response_id,customer_id,campaign_id,response_type,converted,response_date
R00055,C0797,CAM003,Clicked,True,2024-04-02
R00056,C0211,CAM001,Ignored,True,2024-02-14
R00057,C0863,CAM003,Spam,False,2024-03-11
R00058,C0568,CAM005,Clicked,False,2024-06-05
R00059,C0684,CAM005,Converted,False,2024-05-26
R00060,C0453,CAM005,Clicked,False,2024-06-18
R00061,C0969,CAM001,Converted,False,2024-02-07
R00062,C0322,CAM002,Ignored,False,2024-02-16
R00063,C0704,CAM003,Spam,False,2024-03-13
R00064,C0921,CAM001,Spam,False,2024-01-22
R00065,C0272,CAM001,Ignored,False,2024-01-28
R00066,C0109,CAM003,Converted,True,2024-03-27
R00067,C0500,CAM004,Converted,False,2024-04-12
R00068,C0312,CAM001,Clicked,False,2024-02-07
R00069,C0662,CAM003,Converted,False,2024-03-23
R00070,C0781,CAM001,Clicked,False,2024-02-10
R00071,C0081,CAM001,Clicked,True,2024-02-12
R00072,C0885,CAM001,Opened,False,2024-02-13
R00073,C0585,CAM003,Opened,False,2024-03-07
R00074,C0831,CAM001,Opened,True,2024-01-24
R00075,C0263,CAM001,Opened,False,2024-01-20
R00076,C0374,CAM005,Ignored,False,2024-05-29
R00077,C0698,CAM002,Converted,False,2024-02-17
R00078,C0044,CAM003,Converted,False,2024-03-23
R00079,C0527,CAM003,Converted,True,2024-03-17
R00080,C0236,CAM004,Ignored,True,2024-04-13
R00081,C0570,CAM001,Ignored,False,2024-02-14
R00082,C0279,CAM003,Clicked,False,2024-04-04
R00083,C0442,CAM002,Ignored,True,2024-02-21
R00084,C0426,CAM001,Ignored,False,2024-02-03
R00085,C0831,CAM001,Opened,True,2024-02-09
R00086,C0085,CAM004,Clicked,False,2024-04-11
R00087,C0878,CAM005,Clicked,False,2024-06-02
R00088,C0183,CAM004,Clicked,False,2024-04-04
R00089,C0284,CAM005,Converted,True,2024-06-19
R00090,C0505,CAM003,Clicked,False,2024-03-25
R00091,C0193,CAM004,Clicked,False,2024-04-11
R00092,C0486,CAM001,Clicked,False,2024-01-30
R00093,C0702,CAM001,Clicked,False,2024-01-26
R00094,C0250,CAM003,Converted,False,2024-03-22
R00095,C0910,CAM005,Opened,False,2024-06-15
R00096,C0466,CAM003,Converted,False,2024-03-07
R00097,C0036,CAM001,Opened,True,2024-01-27
R00098,C0030,CAM003,Converted,False,2024-03-14
R00099,C0447,CAM005,Clicked,False,2024-06-11
R00100,C0286,CAM002,Spam,False,2024-03-08
R00101,C0628,CAM005,Opened,True,2024-05-27
R00102,C0215,CAM001,Ignored,False,2024-01-20
R00103,C0176,CAM003,Converted,True,2024-03-13
R00104,C0915,CAM002,Clicked,False,2024-02-23
R00105,C0731,CAM004,Opened,False,2024-04-28
R00106,C0640,CAM001,Converted,False,2024-01-16
R00107,C0461,CAM002,Opened,False,2024-02-23
R00108,C0919,CAM004,Spam,False,2024-04-29
R00109,C0801,CAM004,Ignored,True,2024-04-16
R00110,C0387,CAM004,Opened,False,2024-04-06
R00111,C0934,CAM005,Opened,False,2024-06-12
R00112,C0707,CAM005,Ignored,True,2024-05-23
R00113,C0637,CAM002,Opened,True,2024-02-11
R00114,C0444,CAM002,Clicked,True,2024-02-11
R00115,C0968,CAM004,Opened,True,2024-04-15
R00116,C0569,CAM003,Clicked,True,2024-03-07
R00117,C0432,CAM004,Spam,False,2024-04-19
R00118,C0267,CAM003,Spam,False,2024-04-02
R00119,C0665,CAM002,Clicked,False,2024-02-14
R00120,C0871,CAM003,Ignored,False,2024-03-08
R00121,C0873,CAM002,Clicked,False,2024-02-20
R00122,C0771,CAM004,Converted,False,2024-04-21
R00123,C0714,CAM002,Converted,False,2024-03-08
R00124,C0957,CAM002,Opened,True,2024-02-12
R00125,C0560,CAM005,Ignored,True,2024-05-29
R00126,C0871,CAM005,Converted,False,2024-06-10
R00127,C0324,CAM004,Spam,False,2024-04-09
R00128,C0564,CAM004,Spam,True,2024-04-13
R00129,C0067,CAM002,Ignored,False,2024-03-11
R00130,C0834,CAM001,Ignored,False,2024-02-04
R00131,C0602,CAM003,Converted,True,2024-03-21
R00132,C0405,CAM004,Spam,False,2024-04-17
R00133,C0640,CAM002,Ignored,False,2024-02-11
R00134,C0650,CAM001,Spam,False,2024-01-31
R00135,C0920,CAM003,Converted,False,2024-03-12
R00136,C0410,CAM003,Opened,True,2024-03-15
R00137,C0991,CAM005,Ignored,False,2024-06-09
R00138,C0082,CAM002,Opened,False,2024-02-21
R00139,C0050,CAM002,Spam,False,2024-02-18
R00140,C0671,CAM003,Converted,True,2024-03-31
R00141,C0286,CAM003,Ignored,False,2024-03-22
R00142,C0385,CAM002,Converted,False,2024-03-01
R00143,C0235,CAM001,Converted,True,2024-02-04
R00144,C0135,CAM004,Converted,True,2024-04-16
R00145,C0064,CAM004,Opened,False,2024-04-29
R00146,C0397,CAM005,Spam,True,2024-05-23
R00147,C0398,CAM001,Clicked,False,2024-02-06
R00148,C0712,CAM003,Opened,False,2024-03-15
R00149,C0784,CAM002,Ignored,False,2024-02-15
R00150,C0064,CAM004,Ignored,True,2024-04-18
R00151,C0024,CAM005,Ignored,False,2024-05-28
R00152,C0791,CAM001,Ignored,True,2024-01-21
R00153,C0225,CAM005,Spam,False,2024-06-04
R00154,C0011,CAM002,Converted,False,2024-03-05
R00155,C0766,CAM004,Ignored,False,2024-04-26
R00156,C0232,CAM001,Ignored,True,2024-02-13
R00157,C0212,CAM002,Ignored,False,2024-03-05
R00158,C0557,CAM002,Opened,False,2024-02-21
R00159,C0787,CAM004,Spam,False,2024-04-28
R00160,C0611,CAM003,Spam,False,2024-03-31
R00161,C0135,CAM003,Converted,True,2024-03-27
R00162,C0803,CAM005,Clicked,False,2024-06-17
R00163,C0203,CAM003,Clicked,False,2024-03-26
R00164,C0951,CAM003,Converted,False,2024-03-30
R00165,C0396,CAM004,Spam,True,2024-04-27
R00166,C0259,CAM003,Spam,True,2024-04-02
R00167,C0410,CAM001,Clicked,False,2024-01-17
R00168,C0070,CAM003,Ignored,True,2024-03-22
R00169,C0536,CAM003,Spam,False,2024-03-07
R00170,C0907,CAM005,Opened,True,2024-06-08
R00171,C0054,CAM005,Spam,False,2024-06-03
R00172,C0132,CAM005,Clicked,False,2024-05-31
R00173,C0108,CAM004,Clicked,False,2024-04-04
R00174,C0889,CAM002,Converted,False,2024-02-26
R00175,C0831,CAM002,Ignored,False,2024-03-01
R00176,C0732,CAM003,Converted,True,2024-03-29
R00177,C0013,CAM002,Spam,True,2024-02-12
R00178,C0709,CAM004,Clicked,True,2024-04-27
R00179,C0718,CAM005,Opened,False,2024-05-23
R00180,C0449,CAM004,Clicked,False,2024-04-17
R00181,C0710,CAM002,Converted,False,2024-03-02
R00182,C0280,CAM002,Clicked,False,2024-03-10
R00183,C0002,CAM001,Ignored,False,2024-01-17
R00184,C0658,CAM001,Converted,False,2024-01-18
R00185,C0910,CAM005,Opened,False,2024-06-02
R00186,C0089,CAM003,Clicked,False,2024-04-01
R00187,C0861,CAM002,Ignored,False,2024-02-20
R00188,C0591,CAM001,Converted,False,2024-01-23
R00189,C0350,CAM002,Clicked,False,2024-02-12
R00190,C0688,CAM005,Clicked,False,2024-06-19
R00191,C0559,CAM004,Spam,False,2024-04-19
R00192,C0615,CAM003,Opened,True,2024-04-04
R00193,C0397,CAM003,Converted,True,2024-03-19
R00194,C0631,CAM002,Converted,False,2024-02-24
R00195,C0761,CAM004,Clicked,False,2024-04-16
R00196,C0708,CAM003,Converted,False,2024-03-20
R00197,C0469,CAM005,Spam,True,2024-05-31
R00198,C0790,CAM005,Spam,False,2024-06-18
R00199,C0220,CAM002,Ignored,True,2024-03-09
R00200,C0398,CAM001,Opened,False,2024-02-08
R00201,C0440,CAM004,Spam,True,2024-04-14
R00202,C0189,CAM003,Clicked,True,2024-03-12
R00203,C0178,CAM004,Clicked,False,2024-04-25
R00204,C0317,CAM004,Opened,True,2024-04-22
R00205,C0290,CAM004,Ignored,False,2024-04-04
R00206,C0625,CAM003,Opened,False,2024-03-16
R00207,C0318,CAM004,Opened,True,2024-04-10
R00208,C0094,CAM004,Opened,False,2024-04-15
R00209,C0583,CAM001,Ignored,True,2024-01-19
R00210,C0190,CAM005,Ignored,True,2024-06-16
R00211,C0479,CAM003,Clicked,False,2024-03-19
R00212,C0718,CAM005,Ignored,False,2024-06-03
R00213,C0180,CAM004,Clicked,True,2024-04-10
R00214,C0746,CAM003,Spam,False,2024-04-03
R00215,C0430,CAM003,Ignored,True,2024-03-24
R00216,C0225,CAM005,Converted,False,2024-06-16
R00217,C0293,CAM004,Opened,False,2024-04-23
R00218,C0273,CAM001,Ignored,False,2024-02-09
R00219,C0457,CAM003,Opened,True,2024-03-20
R00220,C0961,CAM005,Ignored,False,2024-06-07
R00221,C0728,CAM003,Opened,False,2024-03-25
R00222,C0776,CAM005,Spam,False,2024-06-12
R00223,C0111,CAM002,Ignored,True,2024-03-01
R00224,C0831,CAM005,Ignored,False,2024-06-13
R00225,C0732,CAM005,Spam,True,2024-06-12
R00226,C0492,CAM003,Ignored,False,2024-03-18
R00227,C0087,CAM001,Ignored,False,2024-02-09
R00228,C0859,CAM003,Opened,False,2024-03-06
R00229,C0505,CAM003,Ignored,False,2024-03-11
R00230,C0073,CAM001,Spam,False,2024-02-13
R00231,C0449,CAM004,Ignored,False,2024-04-12
R00232,C0517,CAM001,Spam,True,2024-01-18
R00233,C0815,CAM004,Ignored,False,2024-04-21
R00234,C0269,CAM005,Ignored,False,2024-06-11
R00235,C0744,CAM004,Spam,False,2024-04-25
R00236,C0047,CAM002,Clicked,True,2024-02-26
R00237,C0155,CAM002,Opened,False,2024-03-10
R00238,C0122,CAM002,Opened,False,2024-03-04
R00239,C0750,CAM002,Opened,False,2024-03-03
R00240,C0673,CAM002,Converted,False,2024-02-12
R00241,C0362,CAM002,Opened,False,2024-02-24
R00242,C0961,CAM005,Clicked,True,2024-05-24
R00243,C0593,CAM002,Spam,True,2024-02-26
R00244,C0300,CAM004,Opened,False,2024-04-25
R00245,C0992,CAM003,Ignored,True,2024-03-21
R00246,C0878,CAM005,Clicked,False,2024-05-30
R00247,C0919,CAM005,Clicked,False,2024-06-11
R00248,C0103,CAM004,Converted,False,2024-04-26
R00249,C0809,CAM001,Opened,False,2024-01-26
R00250,C0084,CAM005,Converted,False,2024-06-03
R00251,C0450,CAM003,Ignored,False,2024-03-17
R00252,C0548,CAM002,Ignored,False,2024-02-21
R00253,C0502,CAM004,Converted,False,2024-04-04
R00254,C0789,CAM002,Ignored,False,2024-03-10
R00255,C0304,CAM005,Clicked,False,2024-06-03
R00256,C0226,CAM005,Ignored,False,2024-05-21
R00257,C0999,CAM003,Converted,False,2024-03-09
R00258,C0781,CAM001,Clicked,False,2024-01-23
R00259,C0699,CAM004,Clicked,False,2024-04-08
R00260,C0533,CAM005,Opened,False,2024-06-19
R00261,C0032,CAM005,Converted,False,2024-06-09
R00262,C0214,CAM004,Converted,True,2024-04-06
R00263,C0215,CAM004,Ignored,False,2024-04-25
R00264,C0005,CAM003,Converted,False,2024-04-03
R00265,C0377,CAM001,Converted,False,2024-02-01
R00266,C0045,CAM005,Spam,False,2024-06-10
R00267,C0354,CAM005,Spam,False,2024-05-23
R00268,C0113,CAM004,Clicked,True,2024-04-13
R00269,C0753,CAM001,Clicked,True,2024-02-07
R00270,C0145,CAM003,Clicked,False,2024-03-11
R00271,C0433,CAM001,Opened,False,2024-02-08
R00272,C0653,CAM003,Opened,True,2024-03-06
R00273,C0044,CAM005,Opened,True,2024-06-08
R00274,C0953,CAM004,Spam,False,2024-04-05
R00275,C0363,CAM002,Converted,False,2024-03-09
R00276,C0739,CAM003,Opened,False,2024-03-26
R00277,C0123,CAM002,Clicked,False,2024-02-22
R00278,C0405,CAM002,Clicked,True,2024-03-07
R00279,C0135,CAM004,Ignored,True,2024-04-08
R00280,C0564,CAM002,Ignored,True,2024-03-05
R00281,C0075,CAM002,Ignored,False,2024-03-01
R00282,C0240,CAM004,Opened,False,2024-04-11
R00283,C0267,CAM005,Opened,True,2024-05-21
R00284,C0356,CAM002,Clicked,False,2024-02-26
R00285,C0846,CAM004,Spam,False,2024-04-11
R00286,C0776,CAM005,Converted,False,2024-06-17
R00287,C0103,CAM005,Clicked,False,2024-05-25
R00288,C0635,CAM005,Opened,False,2024-05-23
R00289,C0913,CAM001,Opened,False,2024-01-20
R00290,C0880,CAM001,Opened,False,2024-02-02
R00291,C0526,CAM005,Spam,False,2024-06-16
R00292,C0839,CAM002,Clicked,False,2024-02-24
R00293,C0609,CAM005,Opened,False,2024-05-27
R00294,C0220,CAM003,Clicked,False,2024-04-04
R00295,C0194,CAM002,Spam,True,2024-02-26
R00296,C0569,CAM003,Converted,False,2024-03-26
R00297,C0267,CAM003,Spam,False,2024-03-18
R00298,C0895,CAM005,Clicked,True,2024-05-23
R00299,C0945,CAM003,Spam,False,2024-03-16
R00300,C0032,CAM003,Clicked,True,2024-03-12
R00301,C0941,CAM001,Clicked,False,2024-01-17
R00302,C0400,CAM001,Clicked,False,2024-01-16
R00303,C0056,CAM002,Clicked,True,2024-03-02
R00304,C0494,CAM002,Clicked,True,2024-02-17
R00305,C0805,CAM002,Converted,False,2024-02-15
R00306,C0905,CAM002,Opened,True,2024-02-25
R00307,C0190,CAM003,Clicked,True,2024-04-01
R00308,C0360,CAM005,Spam,False,2024-06-04
R00309,C0027,CAM003,Converted,False,2024-03-10
R00310,C0873,CAM001,Spam,True,2024-02-12
R00311,C0533,CAM003,Spam,False,2024-03-08
R00312,C0753,CAM001,Spam,False,2024-02-04
R00313,C0791,CAM001,Opened,False,2024-01-21
R00314,C0623,CAM005,Ignored,True,2024-05-24
R00315,C0048,CAM002,Ignored,False,2024-02-24
R00316,C0460,CAM005,Opened,True,2024-06-13
R00317,C0151,CAM004,Ignored,False,2024-04-15
R00318,C0511,CAM001,Clicked,False,2024-01-21
R00319,C0055,CAM002,Opened,False,2024-02-23
R00320,C0993,CAM005,Ignored,False,2024-06-11
R00321,C0565,CAM002,Opened,False,2024-03-08
R00322,C0328,CAM005,Ignored,False,2024-06-08
R00323,C0525,CAM004,Ignored,True,2024-04-26
R00324,C0027,CAM005,Ignored,False,2024-06-16
R00325,C0089,CAM001,Converted,False,2024-01-31
R00326,C0661,CAM003,Clicked,True,2024-04-03
R00327,C0404,CAM001,Ignored,False,2024-01-29
R00328,C0483,CAM003,Opened,True,2024-03-29
R00329,C0128,CAM004,Ignored,False,2024-04-04
R00330,C0722,CAM002,Converted,False,2024-03-05
R00331,C0916,CAM003,Spam,True,2024-03-12
R00332,C0005,CAM005,Ignored,False,2024-06-15
R00333,C0357,CAM004,Clicked,False,2024-04-26
R00334,C0137,CAM004,Spam,True,2024-04-05
R00335,C0420,CAM001,Converted,False,2024-02-05
R00336,C0712,CAM003,Ignored,False,2024-03-23
R00337,C0694,CAM001,Spam,False,2024-02-07
R00338,C0776,CAM003,Converted,True,2024-04-04
R00339,C0078,CAM003,Clicked,False,2024-03-06
R00340,C0260,CAM004,Spam,False,2024-04-19
R00341,C0234,CAM003,Spam,True,2024-03-06
R00342,C0120,CAM002,Converted,False,2024-02-26
R00343,C0731,CAM002,Clicked,False,2024-02-11
R00344,C0083,CAM004,Ignored,True,2024-04-26
R00345,C0163,CAM004,Ignored,False,2024-04-14
R00346,C0600,CAM001,Opened,True,2024-02-05
R00347,C0128,CAM003,Converted,False,2024-03-17
R00348,C0240,CAM004,Ignored,True,2024-04-27
R00349,C0937,CAM005,Converted,False,2024-06-08
R00350,C0504,CAM005,Converted,True,2024-05-29
R00351,C0072,CAM001,Opened,False,2024-01-23
R00352,C0221,CAM001,Spam,False,2024-01-16
R00353,C0798,CAM003,Converted,False,2024-03-14
R00354,C0374,CAM002,Clicked,False,2024-02-26
R00355,C0522,CAM004,Spam,True,2024-04-13
R00356,C0665,CAM001,Opened,False,2024-01-19
R00357,C0427,CAM003,Clicked,False,2024-03-09
R00358,C0593,CAM005,Converted,False,2024-06-03
R00359,C0253,CAM005,Spam,True,2024-06-05
R00360,C0151,CAM004,Ignored,False,2024-04-20
R00361,C0211,CAM003,Opened,True,2024-04-02
R00362,C0240,CAM002,Ignored,False,2024-03-08
R00363,C0261,CAM004,Opened,False,2024-04-25
R00364,C0246,CAM005,Opened,True,2024-06-08
R00365,C0620,CAM002,Clicked,False,2024-02-25
R00366,C0079,CAM001,Converted,False,2024-01-24
R00367,C0089,CAM004,Ignored,False,2024-04-09
R00368,C0643,CAM005,Converted,False,2024-06-17
R00369,C0341,CAM003,Opened,False,2024-03-24
R00370,C0057,CAM001,Opened,True,2024-01-22
R00371,C0842,CAM005,Converted,True,2024-06-08
R00372,C0739,CAM003,Opened,False,2024-03-10
R00373,C0979,CAM002,Clicked,True,2024-02-20
R00374,C0584,CAM002,Clicked,False,2024-02-19
R00375,C0455,CAM002,Spam,True,2024-02-13
R00376,C0279,CAM003,Spam,True,2024-03-17
R00377,C0285,CAM001,Ignored,False,2024-02-03
R00378,C0378,CAM002,Clicked,False,2024-02-13
R00379,C0200,CAM003,Spam,False,2024-03-25
R00380,C0195,CAM001,Clicked,False,2024-02-09
R00381,C0400,CAM001,Converted,False,2024-01-30
R00382,C0096,CAM003,Opened,False,2024-03-19
R00383,C0180,CAM005,Spam,False,2024-05-26
R00384,C0857,CAM001,Opened,True,2024-02-11
R00385,C0184,CAM001,Ignored,False,2024-02-11
R00386,C0908,CAM005,Converted,True,2024-06-09
R00387,C0831,CAM001,Ignored,False,2024-01-25
R00388,C0712,CAM005,Spam,False,2024-05-21
R00389,C0215,CAM001,Clicked,True,2024-01-23
R00390,C0313,CAM004,Spam,False,2024-04-08
R00391,C0301,CAM003,Opened,False,2024-03-28
R00392,C0226,CAM003,Spam,False,2024-03-13
R00393,C0247,CAM005,Ignored,True,2024-05-24
R00394,C0140,CAM003,Ignored,False,2024-03-23
R00395,C0660,CAM003,Opened,True,2024-04-02
R00396,C0060,CAM004,Opened,False,2024-04-15
R00397,C0178,CAM002,Converted,False,2024-02-23
R00398,C0355,CAM001,Spam,False,2024-02-07
R00399,C0110,CAM002,Clicked,True,2024-02-12
R00400,C0394,CAM004,Ignored,True,2024-04-16
R00401,C0395,CAM001,Spam,False,2024-01-27
R00402,C0151,CAM004,Opened,False,2024-04-09
R00403,C0199,CAM004,Converted,True,2024-04-16
R00404,C0493,CAM004,Clicked,True,2024-04-29
R00405,C0285,CAM001,Clicked,False,2024-02-06
R00406,C0379,CAM001,Converted,True,2024-02-13
R00407,C0487,CAM004,Spam,False,2024-04-11
R00408,C0724,CAM001,Ignored,False,2024-01-24
R00409,C0821,CAM005,Clicked,False,2024-05-31
R00410,C0407,CAM005,Converted,False,2024-06-01
R00411,C0884,CAM003,Spam,False,2024-03-15
R00412,C0011,CAM002,Clicked,False,2024-02-21
R00413,C0946,CAM002,Spam,False,2024-03-01
R00414,C0936,CAM004,Spam,False,2024-04-28
R00415,C0562,CAM004,Opened,True,2024-05-01
R00416,C0283,CAM002,Converted,False,2024-02-24
R00417,C0147,CAM005,Ignored,False,2024-06-07
R00418,C0535,CAM002,Converted,False,2024-02-20
R00419,C0881,CAM004,Opened,True,2024-04-13
R00420,C0563,CAM001,Spam,False,2024-02-12
R00421,C0892,CAM004,Spam,False,2024-04-08
R00422,C0879,CAM001,Spam,False,2024-02-12
R00423,C0869,CAM001,Opened,False,2024-02-07
R00424,C0308,CAM004,Converted,False,2024-04-18
R00425,C0536,CAM005,Ignored,False,2024-05-30
R00426,C0457,CAM003,Clicked,False,2024-04-02
R00427,C0044,CAM004,Ignored,False,2024-04-09
R00428,C0941,CAM004,Ignored,False,2024-04-06
R00429,C0120,CAM004,Opened,False,2024-04-12
R00430,C0535,CAM002,Converted,False,2024-02-21
R00431,C0295,CAM002,Clicked,False,2024-03-02
R00432,C0267,CAM005,Clicked,False,2024-05-21
R00433,C0929,CAM004,Clicked,False,2024-04-23
R00434,C0456,CAM003,Spam,False,2024-03-27
R00435,C0912,CAM002,Spam,False,2024-02-16
R00436,C0244,CAM004,Converted,False,2024-05-01
R00437,C0743,CAM005,Clicked,False,2024-06-03
R00438,C0457,CAM001,Converted,False,2024-02-05
R00439,C0240,CAM004,Ignored,False,2024-04-13
R00440,C0031,CAM001,Clicked,False,2024-02-09
R00441,C0337,CAM003,Clicked,True,2024-04-02
R00442,C0191,CAM002,Clicked,False,2024-02-15
R00443,C0844,CAM005,Clicked,False,2024-05-23
R00444,C0987,CAM004,Spam,False,2024-04-06
R00445,C0833,CAM004,Converted,True,2024-04-26
R00446,C0505,CAM003,Ignored,True,2024-03-24
R00447,C0312,CAM002,Ignored,True,2024-02-27
R00448,C0414,CAM005,Spam,False,2024-05-23
R00449,C0265,CAM001,Spam,True,2024-02-13
R00450,C0393,CAM005,Ignored,False,2024-05-23
R00451,C0308,CAM004,Ignored,True,2024-04-09
R00452,C0342,CAM002,Clicked,True,2024-03-10
R00453,C0532,CAM001,Ignored,False,2024-01-22
R00454,C0938,CAM004,Ignored,False,2024-04-02
R00455,C0530,CAM003,Spam,False,2024-03-30
R00456,C0058,CAM003,Converted,False,2024-03-09
R00457,C0850,CAM003,Converted,False,2024-03-28
R00458,C0716,CAM003,Ignored,True,2024-03-10
R00459,C0708,CAM002,Spam,False,2024-03-09
R00460,C0007,CAM002,Ignored,False,2024-02-23
R00461,C0409,CAM005,Converted,False,2024-06-04
R00462,C0811,CAM005,Spam,False,2024-06-16
R00463,C0778,CAM005,Ignored,True,2024-05-26
R00464,C0719,CAM001,Ignored,True,2024-02-04
R00465,C0344,CAM003,Clicked,False,2024-03-27
R00466,C0657,CAM005,Clicked,True,2024-05-27
R00467,C0370,CAM003,Opened,False,2024-03-18
R00468,C0074,CAM004,Clicked,True,2024-04-14
R00469,C0407,CAM003,Converted,True,2024-03-12
R00470,C0874,CAM002,Ignored,True,2024-03-08
R00471,C0383,CAM001,Spam,False,2024-01-25
R00472,C0802,CAM003,Clicked,True,2024-03-31
R00473,C0059,CAM001,Opened,False,2024-01-23
R00474,C0940,CAM001,Opened,True,2024-02-07
R00475,C0765,CAM003,Converted,True,2024-03-18
R00476,C0522,CAM004,Spam,False,2024-04-06
R00477,C0138,CAM001,Opened,False,2024-01-25
R00478,C0032,CAM005,Ignored,True,2024-06-10
R00479,C0816,CAM001,Converted,False,2024-02-12
R00480,C0637,CAM002,Opened,False,2024-02-22
R00481,C0658,CAM003,Spam,False,2024-03-06
R00482,C0602,CAM005,Converted,False,2024-05-22
R00483,C0904,CAM005,Opened,False,2024-06-13
R00484,C0769,CAM002,Converted,False,2024-02-16
R00485,C0798,CAM003,Opened,False,2024-03-24
R00486,C0198,CAM005,Ignored,False,2024-06-09
R00487,C0297,CAM002,Opened,False,2024-03-01
R00488,C0464,CAM004,Clicked,False,2024-04-30
R00489,C0886,CAM004,Converted,False,2024-04-02
R00490,C0848,CAM001,Ignored,False,2024-02-02
R00491,C0047,CAM002,Clicked,False,2024-03-11
R00492,C0204,CAM003,Converted,True,2024-03-08
R00493,C0234,CAM003,Ignored,False,2024-04-04
R00494,C0554,CAM004,Spam,True,2024-04-18
R00495,C0623,CAM004,Opened,True,2024-04-10
R00496,C0555,CAM004,Opened,False,2024-04-22
R00497,C0917,CAM002,Spam,False,2024-03-01
R00498,C0821,CAM005,Opened,True,2024-06-11
R00499,C0749,CAM004,Opened,False,2024-04-25
R00500,C0785,CAM002,Ignored,False,2024-02-14
R00501,C0487,CAM004,Clicked,True,2024-04-09
R00502,C0365,CAM002,Ignored,False,2024-02-13
R00503,C0842,CAM003,Ignored,False,2024-03-17
R00504,C0743,CAM002,Spam,True,2024-02-29
R00505,C0234,CAM003,Spam,True,2024-03-30
R00506,C0137,CAM004,Clicked,True,2024-04-27
R00507,C0786,CAM005,Opened,False,2024-06-07
R00508,C0759,CAM002,Spam,False,2024-02-12
R00509,C0872,CAM005,Clicked,False,2024-06-01
R00510,C0680,CAM005,Spam,False,2024-06-02
R00511,C0370,CAM005,Converted,False,2024-05-26
R00512,C0331,CAM002,Ignored,True,2024-02-12
R00513,C0400,CAM003,Clicked,False,2024-03-13
R00514,C0350,CAM002,Clicked,False,2024-02-13
R00515,C0310,CAM005,Clicked,True,2024-05-22
R00516,C0413,CAM001,Ignored,False,2024-01-21
R00517,C0638,CAM005,Ignored,False,2024-06-05
R00518,C0114,CAM005,Clicked,False,2024-06-15
R00519,C0666,CAM003,Ignored,False,2024-03-15
R00520,C0139,CAM001,Clicked,False,2024-02-06
R00521,C0343,CAM004,Clicked,False,2024-04-10
R00522,C0117,CAM005,Spam,False,2024-05-25
R00523,C0397,CAM003,Clicked,False,2024-03-06
R00524,C0720,CAM002,Ignored,True,2024-02-24
R00525,C0443,CAM003,Clicked,True,2024-03-19
R00526,C0256,CAM002,Spam,False,2024-02-12
R00527,C0659,CAM001,Ignored,True,2024-01-17
